book	chapter	verse	file_line	head_a	head_b	shared_a1_id	left_pw	right_pw	split_position	prior_text	next_text
01-genesis	11	3	11	נִלְבְּנָ֣ה	נִשְׂרְפָ֖ה	010110030071	4	2	5	הָ֚בָ ה נִלְבְּנָ֣ה לְבֵנִ֔ים וְ	נִשְׂרְפָ֖ה לִ שְׂרֵפָ֑ה
02-exodus	9	19	99	יִמָּצֵ֣א	יֵֽאָסֵף֙	020090190122	9	3	21	וְ אֵ֛ת כָּל אֲשֶׁ֥ר לְ ךָ֖ בַּ  שָּׂדֶ֑ה כָּל הָ אָדָ֨ם וְ הַ בְּהֵמָ֜ה אֲשֶֽׁר יִמָּצֵ֣א בַ  שָּׂדֶ֗ה וְ	לֹ֤א יֵֽאָסֵף֙ הַ בַּ֔יְתָ ה
02-exodus	12	22	110	לְקַחְתֶּ֞ם	טְבַלְתֶּם֮	020120220021	4	3	5	וּ לְקַחְתֶּ֞ם אֲגֻדַּ֣ת אֵז֗וֹב וּ	טְבַלְתֶּם֮ בַּ  דָּ֣ם אֲשֶׁר בַּ  סַּף֒
02-exodus	19	13	64	יִסָּקֵל֙	יִיָּרֶ֔ה	020190120132	6	2	9	לֹא תִגַּ֨ע בּ֜ וֹ יָ֗ד כִּֽי סָק֤וֹל יִסָּקֵל֙ אוֹ	יָרֹ֣ה יִיָּרֶ֔ה
02-exodus	25	22	92	דִבַּרְתִּ֨י	אֲצַוֶּ֛ה	020250220161	12	4	21	וְ דִבַּרְתִּ֨י אִתְּ ךָ֜ מֵ עַ֣ל הַ כַּפֹּ֗רֶת מִ בֵּין֙ שְׁנֵ֣י הַ כְּרֻבִ֔ים אֲשֶׁ֖ר עַל אֲרֹ֣ן הָ עֵדֻ֑ת אֵ֣ת כָּל אֲשֶׁ֧ר	אֲצַוֶּ֛ה אוֹתְ ךָ֖ אֶל בְּנֵ֥י יִשְׂרָאֵֽל
02-exodus	29	7	29	לָֽקַחְתָּ֙	יָצַקְתָּ֖	020290070031	4	2	7	וְ לָֽקַחְתָּ֙ אֶת שֶׁ֣מֶן הַ מִּשְׁחָ֔ה וְ	יָצַקְתָּ֖ עַל רֹאשׁ֑ וֹ
03-leviticus	6	21	97	מֹרַ֥ק	שֻׁטַּ֖ף	030060210082	2	2	3	וּ מֹרַ֥ק וְ	שֻׁטַּ֖ף בַּ  מָּֽיִם
03-leviticus	19	13	54	תַעֲשֹׁ֥ק	תִגְזֹ֑ל	030190130041	3	2	6	לֹֽא תַעֲשֹׁ֥ק אֶת רֵֽעֲ ךָ֖ וְ	לֹ֣א תִגְזֹ֑ל
04-numbers	11	8	34	לָֽקְט֜וּ	טָחֲנ֣וּ	040110070013	2	5	3	וְ לָֽקְט֜וּ וְ	טָחֲנ֣וּ בָ  רֵחַ֗יִם א֤וֹ דָכוּ֙ בַּ  מְּדֹכָ֔ה
04-numbers	15	40	183	תִּזְכְּר֔וּ	עֲשִׂיתֶ֖ם	040150400061	3	2	3	לְמַ֣עַן תִּזְכְּר֔וּ וַ	עֲשִׂיתֶ֖ם אֶת כָּל מִצְוֺתָ֑ י
04-numbers	19	18	86	לָקַ֨ח	טָבַ֣ל	040190180021	3	4	4	וְ לָקַ֨ח אֵז֜וֹב וְ	טָבַ֣ל בַּ  מַּיִם֮ אִ֣ישׁ טָהוֹר֒
04-numbers	31	29	132	תִּקָּ֑חוּ	נָתַתָּ֛ה	040310280101	3	5	5	מִ מַּֽחֲצִיתָ֖ ם תִּקָּ֑חוּ וְ	נָתַתָּ֛ה לְ אֶלְעָזָ֥ר הַ כֹּהֵ֖ן תְּרוּמַ֥ת יְהוָֽה
05-deuteronomy	17	15	69	תָּשִׂ֤ים	יִבְחַ֛ר	050170150041	5	4	6	שׂ֣וֹם תָּשִׂ֤ים עָלֶ֨י ךָ֙ מֶ֔לֶךְ אֲשֶׁ֥ר	יִבְחַ֛ר יְהוָ֥ה אֱלֹהֶ֖י ךָ בּ֑ וֹ
05-deuteronomy	22	19	85	עָנְשׁ֨וּ	נָתְנוּ֙	050220190041	5	3	7	וְ עָנְשׁ֨וּ אֹת֜ וֹ מֵ֣אָה כֶ֗סֶף וְ	נָתְנוּ֙ לַ אֲבִ֣י הַֽ נַּעֲרָ֔ה
05-deuteronomy	24	1	4	כָ֨תַב	נָתַ֣ן	050240010191	5	2	7	וְ כָ֨תַב לָ֜ הּ סֵ֤פֶר כְּרִיתֻת֙ וְ	נָתַ֣ן בְּ יָדָ֔ הּ
05-deuteronomy	24	3	13	כָ֨תַב	נָתַ֣ן	050240030061	5	2	7	וְ כָ֨תַב לָ֜ הּ סֵ֤פֶר כְּרִיתֻת֙ וְ	נָתַ֣ן בְּ יָדָ֔ הּ
07-judges	5	30	143	יִמְצְא֜וּ	יְחַלְּק֣וּ	070050300041	2	6	3	הֲ לֹ֨א יִמְצְא֜וּ	יְחַלְּק֣וּ שָׁלָ֗ל רַ֤חַם רַחֲמָתַ֨יִם֙ לְ רֹ֣אשׁ גֶּ֔בֶר
09-1samuel	2	22	113	שָׁמַ֗ע	יַעֲשׂ֤וּ	090020220061	6	3	9	וְ עֵלִ֖י זָקֵ֣ן מְאֹ֑ד וְ שָׁמַ֗ע אֵת֩ כָּל אֲשֶׁ֨ר	יַעֲשׂ֤וּ ן בָּנָי ו֙ לְ כָל יִשְׂרָאֵ֔ל
09-1samuel	8	11	55	יִקָּ֗ח	שָׂ֥ם	090080110101	4	3	7	עֲלֵי כֶ֑ם אֶת בְּנֵי כֶ֣ם יִקָּ֗ח וְ	שָׂ֥ם ל וֹ֙ בְּ מֶרְכַּבְתּ֣ וֹ
09-1samuel	8	14	74	יִקָּ֑ח	נָתַ֖ן	090080140021	2	2	2	יִקָּ֑ח וְ	נָתַ֖ן לַ עֲבָדָֽי ו
09-1samuel	8	16	82	יִקָּ֑ח	עָשָׂ֖ה	090080160021	2	2	2	יִקָּ֑ח וְ	עָשָׂ֖ה לִ מְלַאכְתּֽ וֹ
09-1samuel	9	13	73	יְבָרֵ֣ךְ	יֹאכְל֣וּ	090090130192	3	3	5	כִּֽי הוּא֙ יְבָרֵ֣ךְ הַ זֶּ֔בַח	אַחֲרֵי כֵ֖ן יֹאכְל֣וּ הַ קְּרֻאִ֑ים
11-1kings	18	23	118	אֶעֱשֶׂ֣ה	נָֽתַתִּי֙	110180230192	4	3	9	וַ אֲנִ֞י אֶעֱשֶׂ֣ה אֶת הַ פָּ֣ר הָ אֶחָ֗ד וְ	נָֽתַתִּי֙ עַל הָ֣ עֵצִ֔ים וְ אֵ֖שׁ
